Temperature (degree celsius),Relative Humidity(%),Pressure(hPa),Wind speed(m/s),Wind direction(deg),Rainfall(mm),Month
27.41463415,71.87707317,1006.496098,2.175365854,200.3368293,83.99274393,1
27.87585366,74.74268293,1005.987073,3.010731707,207.7253659,111.3433648,2
27.7204878,78.61804878,1005.777317,3.123170732,209.0407317,162.9076215,3
27.48731707,81.49756098,1005.910488,3.029268293,207.6412195,171.5113115,4
26.91195122,84.01121951,1007.131463,2.94097561,201.3190244,253.8010932,5
25.86731707,84.80341463,1008.876098,3.545121951,201.2809756,231.8256641,6
24.77414634,84.21707317,1009.596098,3.906585366,206.9492683,128.001449,7
24.42463415,83.37097561,1009.510244,3.93902439,209.18,99.09658239,8
24.99804878,83.21536585,1008.654634,3.666341463,209.8226829,177.4051607,9
25.93,82.53097561,1007.568293,3.248536585,204.4670732,225.9954018,10
26.81390244,80.70512195,1006.689268,2.57804878,189.0763415,201.9225477,11
27.15146341,76.39268293,1006.681951,2.053414634,193.4429268,138.4635433,12
